time (s),decision_0_vs_1 (V),decision_0_vs_2 (V),decision_0_vs_3 (V),decision_0_vs_4 (V),decision_0_vs_5 (V),decision_0_vs_6 (V),decision_0_vs_7 (V),decision_0_vs_8 (V),decision_0_vs_9 (V),decision_1_vs_2 (V),decision_1_vs_3 (V),decision_1_vs_4 (V),decision_1_vs_5 (V),decision_1_vs_6 (V),decision_1_vs_7 (V),decision_1_vs_8 (V),decision_1_vs_9 (V),decision_2_vs_3 (V),decision_2_vs_4 (V),decision_2_vs_5 (V),decision_2_vs_6 (V),decision_2_vs_7 (V),decision_2_vs_8 (V),decision_2_vs_9 (V),decision_3_vs_4 (V),decision_3_vs_5 (V),decision_3_vs_6 (V),decision_3_vs_7 (V),decision_3_vs_8 (V),decision_3_vs_9 (V),decision_4_vs_5 (V),decision_4_vs_6 (V),decision_4_vs_7 (V),decision_4_vs_8 (V),decision_4_vs_9 (V),decision_5_vs_6 (V),decision_5_vs_7 (V),decision_5_vs_8 (V),decision_5_vs_9 (V),decision_6_vs_7 (V),decision_6_vs_8 (V),decision_6_vs_9 (V),decision_7_vs_8 (V),decision_7_vs_9 (V),decision_8_vs_9 (V)
43.80E-9,2.443E-3,-2.032E-3,-3.083E-3,-3.304E-3,11.49E-3,1.690E-3,388.3E-6,-3.076E-3,1.052E-3,2.990,3.003,6.098E-3,3.004,2.999,3.001,3.002,4.355E-3,-2.450E-3,-6.073E-3,2.998,771.1E-6,-1.798E-3,-2.364E-3,1.280,-2.554E-3,2.999,-2.815E-3,9.257E-3,2.998,3.528E-3,3.001,3.006,2.991,3.000,2.995,1.351E-3,-2.119E-3,489.3E-6,-3.918E-3,3.003,2.999,3.000,3.001,3.000,-310.6E-6
47.80E-9,1.462E-3,2.999,5.512E-3,2.807E-3,3.000,2.998,985.8E-6,2.999,981.0E-6,2.999,3.001,8.017E-3,2.999,2.996,3.000,2.996,4.283E-3,2.999,1.985E-3,6.991E-3,2.998,-705.5E-6,989.8E-6,8.038E-3,2.998,2.999,2.998,2.999,2.999,5.218E-3,2.999,2.999,27.32E-3,3.000,7.577E-3,1.057E-3,1.272E-3,2.998,676.8E-6,3.181,2.367E-3,-222.6E-6,3.000,2.999,1.514E-3
51.80E-9,1.839E-3,2.998,-67.03E-6,2.999,2.999,782.4E-6,3.004,2.998,3.001,3.000,3.002,2.994,3.001,2.999,3.001,2.990,2.990,2.994,3.004,2.999,18.67E-3,2.978,2.976,2.993,2.992,2.999,1.722E-3,2.996,2.988,2.993,387.4E-6,-1.896E-3,6.052E-3,277.6E-6,2.998,386.5E-6,3.000,3.031,2.999,2.999,2.996,2.998,-30.14E-3,3.001,2.976
55.80E-9,4.403E-3,114.5E-6,-8.164E-3,5.394E-3,5.708E-3,-4.075E-3,6.671E-3,-4.242E-3,-142.2E-6,2.970,3.008,2.999,3.010,3.000,3.010,3.010,2.990,-1.246E-3,9.352E-3,2.998,-27.36E-3,397.1E-6,-280.9E-6,2.974,6.251E-3,3.000,-4.072E-3,20.84E-3,2.999,2.993,2.987,-1.946E-3,3.003,3.006,3.008,9.577E-3,23.67E-3,11.68E-3,-31.89E-3,3.005,3.002,3.006,2.999,3.000,13.29E-3
59.80E-9,3.000,2.998,3.000,12.72E-3,2.998,3.000,2.998,2.998,2.998,1.668E-3,12.57E-3,15.57E-3,14.82E-3,13.06E-3,4.363E-3,14.14E-3,14.42E-3,3.001,1.785E-3,10.78E-3,11.23E-3,2.994,2.999,11.58E-3,-995.0E-6,8.141E-3,-286.7E-6,-2.616E-3,12.72E-3,1.815E-3,2.999,3.001,2.999,3.002,2.999,1.057E-3,3.007,3.000,2.987,-791.0E-9,2.989,2.999,2.993,12.01E-3,-4.141E-3
63.80E-9,1.069E-3,540.5E-6,3.000,4.806E-3,2.999,2.999,1.081E-3,2.997,900.9E-6,2.998,2.999,3.004,2.999,3.002,3.000,2.999,2.998,3.000,3.000,2.999,2.999,1.190E-3,2.996,3.003,991.6E-6,2.998,1.028E-3,309.7E-3,2.999,2.999,2.999,2.998,2.997,2.999,2.962,3.125E-3,800.3E-6,3.826E-3,51.27E-6,2.999,3.000,3.003,4.011E-3,2.999,1.284E-3
67.80E-9,1.246E-3,10.35E-3,1.341E-3,2.999,12.17E-3,1.261E-3,2.998,-20.74E-3,2.998,3.002,2.999,2.998,2.998,3.000,2.999,3.001,3.002,1.439E-3,2.999,1.728E-3,-1.878E-3,2.992,2.965,2.999,3.001,5.432E-3,-896.8E-6,2.999,2.999,2.999,1.494E-3,1.915E-3,-531.3E-6,1.227E-3,2.999,2.992,2.999,3.002,2.998,2.999,3.002,2.999,6.099E-3,2.999,2.999
71.80E-9,-624.3E-6,2.988,3.025,-50.03E-3,24.34E-3,-1.684E-3,2.978,15.41E-3,2.989,3.000,3.004,2.986,3.005,11.39E-3,3.004,3.003,2.979,2.979,3.765E-3,12.99E-3,16.59E-3,2.994,-13.83E-3,2.977,1.737E-3,21.81E-3,-3.942E-3,2.999,10.13E-3,-28.58E-3,620.2E-6,3.743E-3,3.004,2.986,3.001,761.2E-6,2.979,2.999,3.000,3.004,2.984,3.001,7.119E-3,22.46E-3,2.982
75.80E-9,3.000,1.690E-3,3.000,2.998,3.000,3.000,7.102E-3,3.000,3.036,2.999,2.999,2.995,2.999,820.7E-6,3.000,366.4E-3,2.999,2.999,-1.636E-3,2.999,2.999,697.1E-6,2.999,-21.16E-3,1.190E-3,-3.676E-3,564.7E-6,1.114E-3,3.000,846.5E-6,2.998,3.000,18.99E-3,3.000,2.999,3.277E-3,426.7E-6,3.009,949.7E-6,-24.66E-6,2.999,4.182E-3,2.999,3.000,4.238E-3
79.80E-9,1.433E-3,-2.697E-3,2.103E-3,2.999,2.999,3.000,3.000,2.999,2.999,2.999,2.999,2.995,2.999,2.998,2.995,3.000,2.996,2.664E-3,2.998,727.7E-6,2.996,2.998,2.994,3.000,2.999,2.999,713.3E-6,1.005E-3,2.999,2.998,274.1E-6,-635.4E-6,116.6E-6,429.2E-6,3.592E-3,2.999,2.995,2.997,3.000,2.999,2.999,2.999,2.999,2.999,2.994
83.80E-9,1.497E-3,2.999,2.999,12.32E-3,2.999,1.204E-3,2.999,2.999,2.999,9.601E-3,2.999,2.999,2.999,49.33E-3,3.000,2.999,3.001,2.999,2.998,2.998,1.020E-3,3.001,3.001,3.001,3.000,871.2E-6,1.393E-3,2.999,2.573,2.994,1.391E-3,825.8E-6,2.999,1.291E-3,2.999,270.2E-6,3.000,2.996,2.999,2.998,3.000,2.998,-255.1E-6,2.999,3.000
87.80E-9,-2.070E-3,2.999,2.562,2.999,2.999,3.001,-269.4E-6,2.999,2.998,2.992,2.999,2.997,3.000,2.997,921.2E-6,3.000,2.999,199.5E-6,-5.742E-3,2.999,3.000,1.392E-3,2.998,4.857E-3,2.999,2.999,3.000,9.061E-3,3.000,3.002,2.995,3.001,865.9E-6,2.992,8.156E-3,3.000,-841.1E-6,7.056E-3,-5.435E-3,498.4E-6,432.4E-6,-972.2E-6,3.000,2.999,8.288E-3
91.80E-9,1.771E-3,2.998,2.999,3.000,2.998,3.002,2.999,2.998,2.999,3.001,3.000,3.000,2.998,3.000,2.999,3.000,2.999,728.1E-6,3.001,-2.160E-3,3.006,3.008,14.48E-3,12.01E-3,3.000,-5.428E-3,3.001,3.003,2.999,2.999,-3.158E-3,940.4E-6,4.423E-3,1.111E-3,4.244E-3,2.989,2.988,3.000,3.001,2.983,-918.4E-6,12.43E-3,-2.791E-3,11.88E-3,8.567E-3
95.80E-9,436.4E-6,2.999,2.998,3.000,2.999,3.001,2.999,2.999,2.999,2.999,2.999,2.999,3.001,2.997,496.6E-6,3.000,-49.46E-3,2.992,129.9E-3,2.998,2.999,2.784E-3,2.997,2.147,335.1E-6,2.999,2.999,4.052E-3,2.236,171.7E-6,2.997,3.083E-3,-815.8E-6,2.999,5.186E-3,1.310E-3,483.0E-6,356.7E-6,-389.7E-6,-323.4E-6,1.591,1.665E-3,3.000,3.000,2.406E-3
99.80E-9,1.571E-3,1.138,2.999,2.999,2.999,2.999,2.999,2.999,3.000,2.999,2.997,2.994,2.999,2.996,2.999,2.996,2.998,4.856E-3,2.999,-971.5E-6,4.225E-3,2.967,2.992,2.998,3.000,25.67E-6,2.999,2.998,2.998,2.994,-168.5E-6,728.2E-6,889.9E-6,1.057E-3,6.042E-3,15.40E-3,2.995,2.266E-3,2.999,2.999,676.5E-3,3.000,1.645E-3,2.999,2.994
103.8E-9,628.1E-6,-11.37E-3,-7.277E-3,-9.644E-3,13.34E-3,12.08E-6,-903.0E-6,-12.66E-3,-3.451E-3,3.012,3.005,3.000,3.013,3.010,3.009,3.012,2.997,-1.974E-3,-2.911E-3,3.001,2.999,-1.427E-3,-4.756E-3,-140.1E-6,-101.0E-3,3.003,3.002,1.094E-3,2.999,3.002,3.009,3.000,-397.3E-6,3.009,2.999,-1.971E-3,-7.485E-3,-9.481E-3,-11.94E-3,-9.788E-3,-3.150E-3,-3.568E-3,3.002,278.7E-3,-1.098E-3
107.8E-9,6.776E-3,-2.526E-3,1.645E-3,7.700E-3,12.25E-3,-2.738E-3,2.984,4.703E-3,2.988,3.000,3.004,3.000,3.002,996.3E-6,2.996,3.003,2.996,2.993,8.975E-3,-559.0E-6,-2.484E-3,2.984,1.773,2.987,5.367E-3,-17.37E-3,-3.449E-3,2.998,16.94E-3,2.999,1.330E-3,-3.875E-3,3.002,2.999,3.002,-519.8E-6,3.003,3.002,3.002,3.000,3.004,2.999,-835.6E-6,841.3E-6,2.990
111.8E-9,641.9E-6,-26.61E-3,-370.0E-6,3.001,3.001,624.7E-6,3.002,2.999,3.001,3.002,3.002,3.002,3.001,2.980,2.981,2.993,3.001,1.019E-3,3.001,3.000,17.53E-3,2.992,2.983,2.999,3.001,3.000,2.859,2.987,2.999,2.985,313.9E-6,-2.377E-3,-1.835E-3,-558.2E-6,11.42E-3,73.27E-6,4.577E-3,1.210E-3,-10.58E-3,3.001,2.997,3.000,3.001,3.001,2.881
115.8E-9,2.004E-3,-1.737E-3,1.076E-3,-965.9E-6,-1.277E-3,1.833E-3,256.6E-6,-932.3E-6,1.770E-3,2.995,2.999,656.7E-3,3.000,3.000,3.001,3.001,2.995,-45.30E-6,1.061E-3,2.998,51.23E-6,1.050E-3,193.2E-6,3.006,927.5E-6,2.999,1.599E-3,3.654E-3,-9.448E-3,4.344E-3,3.002,2.999,2.999,2.998,2.999,575.5E-6,-1.032E-3,2.519,-1.151E-3,2.998,2.999,2.999,2.999,3.000,1.067E-3
119.8E-9,3.000,3.000,3.002,2.999,3.004,3.001,3.000,3.003,2.999,-4.824E-3,26.18E-3,11.25E-3,8.821E-3,-33.68E-3,3.615E-3,-4.160E-3,19.44E-3,3.004,12.57E-3,3.002,3.000,12.00E-3,2.975,10.83E-3,-29.73E-3,3.000,11.58E-3,-927.1E-6,2.993,-14.63E-3,2.991,2.987,3.001,2.990,3.000,15.81E-3,-3.222E-3,15.45E-3,594.3E-6,6.341E-3,2.977,2.999,3.003,2.990,23.67E-3
123.8E-9,3.000,3.000,2.999,2.999,2.999,2.999,2.994,3.000,3.000,99.93E-3,2.999,1.659E-3,2.997,2.853E-3,2.999,2.999,2.993,3.000,1.804E-3,2.999,3.528E-3,3.001,2.997,3.010,-52.84E-6,7.003E-3,634.3E-6,2.063E-3,1.791E-3,6.431E-3,3.000,3.267E-3,3.000,2.999,2.999,6.571E-3,940.9E-6,2.387E-3,1.329E-3,3.000,2.998,3.000,2.999,3.001,2.774
127.8E-9,3.000,3.000,2.999,3.000,3.000,3.000,3.000,3.000,3.000,-7.170E-3,-6.909E-3,6.613E-3,-6.746E-3,381.1E-3,4.190E-3,-4.402E-3,7.474E-3,3.000,8.294E-3,4.245E-3,5.093E-3,3.006,2.995,-1.112E-3,2.733E-3,77.91E-3,4.452E-3,-3.128E-3,939.8E-6,834.8E-6,2.998,3.002,3.000,2.994,3.000,-2.447E-3,2.903,3.001,2.996,1.855E-3,2.994,2.998,2.999,524.5E-3,2.630E-3
131.8E-9,3.001,3.000,3.000,3.001,3.001,3.001,2.977,3.002,3.002,2.996,3.001,2.882E-3,2.999,3.009,1.025E-3,2.999,2.989,3.003,4.612E-3,3.003,-17.19E-3,1.102E-3,2.994,628.4E-6,-326.8E-6,16.05E-3,5.474E-3,18.07E-3,2.530E-3,6.999E-3,2.999,-3.038E-3,4.849E-3,2.999,3.000,22.89E-3,-2.228E-3,1.274E-3,486.4E-6,1.182E-3,2.999,3.001,3.001,3.001,598.6E-6
135.8E-9,1.070E-3,98.72E-3,-846.8E-6,2.999,2.927E-3,2.998,-1.093E-3,6.179E-6,259.5E-6,2.991,2.999,2.990,3.001,2.999,2.999,2.993,3.000,-1.417E-3,2.999,-1.937E-3,2.999,-1.325E-3,-648.0E-6,681.8E-6,3.001,3.000,3.001,1.064E-3,3.000,3.001,2.999,2.999,-826.4E-6,574.7E-6,6.013E-3,2.998,927.7E-6,-388.6E-6,7.295E-3,-1.234E-3,-342.4E-6,-782.0E-6,3.000,3.000,3.113E-3
139.8E-9,1.460E-3,2.999,3.001,2.999,2.999,942.8E-6,2.999,2.999,2.999,2.999,2.991,2.999,3.001,9.278E-3,3.001,3.001,2.998,930.3E-6,-604.0E-6,-646.7E-6,-1.616E-3,2.999,997.4E-6,1.093E-3,4.957E-3,-368.1E-6,377.9E-6,3.001,-3.830E-3,3.006,1.318E-3,-1.073E-3,3.000,2.990,3.000,-367.2E-6,3.000,3.001,3.001,2.999,3.002,2.999,7.147E-3,6.869E-3,3.006
143.8E-9,1.964E-3,3.002,2.996,-911.0E-6,4.431E-3,2.996,798.6E-6,2.999,1.897E-3,2.993,3.002,2.999,3.002,2.994,2.950,3.000,4.664E-3,605.9E-6,1.747E-3,-35.05E-6,1.137E-3,-1.423E-3,4.444E-3,-412.1E-6,-418.8E-6,2.999,1.149E-3,-416.9E-6,2.618E-3,5.974E-3,2.997,2.998,2.999,2.999,2.996,1.412E-3,1.373E-3,2.999,1.190E-3,409.2E-6,2.999,1.221E-3,2.998,2.999,651.8E-6
147.8E-9,-228.8E-6,2.994,2.992,2.999,2.997,1.051E-3,2.993,6.816E-3,2.999,2.996,2.994,2.999,2.992,2.996,3.001,2.999,2.992,2.923,6.449E-3,-623.9E-6,818.6E-6,2.999,-5.276E-3,2.997,6.181E-3,6.302E-3,-297.7E-6,2.993,6.932E-3,-8.548E-3,703.2E-6,1.428E-3,3.000,3.005,3.000,943.7E-6,2.998,3.000,2.997,2.999,2.999,3.000,-1.701E-3,7.839E-3,3.000
151.8E-9,3.000,2.998,3.001,2.999,3.001,3.000,2.999,2.999,2.999,4.348E-3,12.13E-3,3.237E-3,16.42E-3,14.80E-3,11.13E-3,13.89E-3,4.251E-3,3.002,-1.729E-3,3.000,-6.382E-3,3.005,2.987,804.5E-6,518.9E-6,2.999,1.215E-3,2.635E-3,3.004,1.512E-3,3.000,2.996,2.999,3.001,2.999,15.99E-3,926.3E-6,2.994,3.000,600.9E-6,2.993,2.997,2.999,2.152,1.500E-3
155.8E-9,2.999,2.995,3.003,2.564E-3,279.0E-3,2.989,12.76E-3,3.003,4.631E-3,3.012,2.995,-8.466E-3,2.998,3.011,85.43E-6,3.000,12.47E-3,1.600E-3,3.747E-3,-2.417E-3,8.879E-3,5.209E-3,2.999,14.24E-3,8.055E-3,-12.35E-3,663.4E-6,4.802E-3,2.999,-3.380E-3,2.999,3.004,2.987,3.003,3.001,3.012,-1.779E-3,2.999,4.192E-3,112.4E-6,2.998,-2.782E-3,3.003,3.000,12.22E-3
159.8E-9,2.999,2.998,2.999,445.5E-6,2.998,2.999,2.998,2.999,2.998,1.211E-3,5.815E-3,5.851E-3,6.563E-3,2.456E-3,5.504E-3,3.392E-3,679.0E-6,2.996,-276.2E-6,1.040E-3,118.7E-3,1.201E-3,2.996,844.8E-6,511.7E-6,5.810E-3,1.086E-3,5.494E-3,3.000,2.207E-3,3.000,2.999,2.999,3.000,2.998,5.247E-3,1.600E-3,2.997,2.968,1.210,2.997,2.999,2.999,2.999,53.14E-6
163.8E-9,3.004,3.006,3.006,2.998,3.007,3.005,3.004,3.005,3.001,-11.87E-3,21.17E-3,23.24E-3,-9.230E-3,-22.08E-3,30.41E-3,-1.953E-3,-5.092E-3,3.004,16.97E-3,2.998,14.52E-3,2.983,2.979,5.612E-3,19.89E-3,3.218,92.68E-6,-20.45E-3,2.964,-24.57E-3,2.991,2.991,3.004,2.986,3.003,13.40E-3,3.007,2.983,2.989,17.54E-3,2.972,2.999,2.997,1.542,215.4E-3
167.8E-9,942.8E-6,3.000,3.002,2.999,3.001,22.74E-6,3.002,2.999,3.002,2.999,2.993,2.994,2.999,804.0E-6,3.002,3.000,2.996,2.992,1.498E-3,-1.908E-3,1.356E-3,2.997,1.782E-3,2.999,2.982,3.104E-3,-638.3E-6,2.995,3.352E-3,2.997,184.0E-6,4.229E-3,3.002,-34.89E-3,2.999,6.589E-3,2.992,2.995,2.997,3.000,2.997,3.000,7.744E-3,2.299E-3,2.996
171.8E-9,-2.449E-3,2.999,3.002,3.001,2.997,2.979,2.999,3.001,3.006,3.201,2.978,2.977,27.58E-3,3.028,3.004,2.984,2.990,3.001,2.971,22.60E-3,890.1E-6,2.985,3.017,2.995,2.982,6.835E-3,14.97E-3,2.999,2.997,3.033,-5.274E-3,15.61E-3,3.896E-3,-1.497E-3,-7.608E-3,24.59E-3,2.994,2.970,3.002,3.005,2.993,3.002,7.605E-3,2.999,2.997
175.8E-9,2.999,2.997,5.111E-3,7.088E-3,-18.30E-3,2.996,11.77E-3,3.001,2.600E-3,2.998,3.000,-19.50E-3,3.001,2.995,166.2E-6,2.999,-21.13E-3,9.520E-3,697.5E-6,1.632E-3,5.528E-3,1.966E-3,2.730E-3,16.00E-3,12.25E-3,3.916E-3,2.989,4.813E-3,2.997,12.09E-3,2.997,3.731E-3,853.5E-6,2.994,-21.79E-3,3.023,-2.008E-3,3.014,397.4E-6,3.001,2.987,-11.83E-3,3.001,3.000,-483.1E-6
179.8E-9,3.002,3.002,2.994,3.001,3.002,3.000,2.993,3.002,3.002,2.998,3.001,3.415E-3,2.999,3.026,9.023E-3,3.000,-20.61E-3,3.000,3.305E-3,3.000,2.999,1.581E-3,2.998,281.1E-6,1.008E-3,-8.074E-3,3.496E-3,3.481E-3,2.268E-3,7.653E-3,2.997,3.000,2.999,2.998,3.000,-14.29E-3,-313.8E-6,4.769E-3,746.8E-6,5.275E-3,1.680E-3,1.768E-3,3.001,2.997,1.453E-3
183.8E-9,661.9E-6,9.553E-3,2.998,5.068E-3,2.999,2.992,5.415E-3,2.994,157.1E-6,2.999,3.000,2.999,2.999,3.000,656.7E-6,3.000,2.997,3.001,2.887E-3,3.001,-16.55E-3,682.0E-6,2.995,2.998,268.3E-6,3.000,10.76E-3,10.73E-3,5.928E-3,9.584E-3,2.998,3.000,242.5E-6,3.000,2.996,8.306E-3,-892.0E-6,894.9E-6,-414.8E-6,3.012,2.998,2.568E-3,3.000,2.990,2.092E-3
187.8E-9,3.000,2.999,3.001,2.999,3.001,3.001,3.000,2.999,3.000,2.162E-3,6.370E-3,10.98E-3,6.818E-3,1.384,220.2E-6,2.687E-3,2.798E-3,3.001,3.361E-3,3.000,10.04E-3,3.003,2.999,-17.50E-3,1.715E-3,-13.22E-3,3.211E-3,11.37E-3,-45.14E-3,2.774E-3,2.994,3.005,2.999,2.994,2.999,4.365E-3,1.129E-3,2.997,3.062E-3,2.996,2.999,2.998,2.999,2.992,2.881E-3
191.8E-9,1.659E-3,3.003,2.991,2.999,3.001,2.984,2.998,2.959,4.148E-3,2.987,3.012,3.023,2.997,3.010,2.988,2.991,14.29E-3,380.3E-6,-1.330E-3,12.44E-3,-6.505E-3,-1.186E-3,15.38E-3,15.92E-3,2.992,-14.36E-3,3.019,-7.565E-3,2.998,-16.22E-3,1.236E-3,3.000,15.39E-3,2.900,9.180E-3,2.992,-78.46E-6,3.003,3.005,7.125E-3,7.578E-3,5.416E-3,3.001,3.001,800.2E-6
195.8E-9,2.507E-3,-6.078E-3,2.999,2.998,2.998,2.997,3.003,2.997,2.998,2.998,3.004,3.000,3.001,3.003,3.001,3.003,3.003,3.000,3.000,2.999,-19.65E-3,2.991,2.996,3.003,2.999,2.999,-774.5E-6,1.896E-3,3.000,2.986,1.874E-3,-3.214E-3,274.5E-6,1.266E-3,4.823E-3,-2.545E-3,2.996,2.994,2.998,3.000,3.001,3.000,2.999,3.001,2.998
199.8E-9,2.473E-3,-4.535E-3,1.376E-3,2.999,201.7E-3,1.283E-3,2.998,2.993,3.000,3.003,2.998,2.999,2.998,3.002,2.998,3.001,3.003,1.423E-3,3.001,-716.6E-6,797.1E-6,2.995,1.826E-3,1.223E-3,3.000,5.478E-3,3.000,3.001,2.999,2.994,2.116E-3,505.9E-6,973.7E-6,1.413E-3,-90.44E-6,2.994,3.002,3.002,3.002,2.998,2.998,2.999,6.159E-3,2.999,2.992
203.8E-9,383.0E-6,2.883E-3,2.759,2.999,-11.71E-3,2.996,-454.4E-6,-8.625E-3,7.055E-3,3.000,2.999,3.000,3.001,2.991,-769.1E-6,3.001,2.995,699.8E-6,-650.3E-6,2.999,2.999,-162.5E-6,2.996,370.3E-6,6.132E-3,3.043,3.000,7.918E-3,1.580E-3,5.200E-3,2.998,2.999,-852.2E-6,3.000,2.999,3.000,-689.2E-6,209.2E-6,1.122E-3,-320.3E-6,-1.319E-3,-1.043E-3,3.001,3.001,603.8E-6
